0;0
-427;-670
843;-796
-796;-413
-689;-359
579;746
584;-724
-596;613
-376;987
-21;-918
772;994
-375;59
-387;86
-270;682
-159;-762
381;-513
699;-3
-925;-741
113;-459
341;678
943;-10
-384;-442
-700;-634
-443;-460
-408;952
658;517
-584;320
978;-55
99;515
718;-244
474;-477
747;-928
260;92
-953;-414
-799;-855
-500;-918
-355;302
-860;-219
377;-933
-242;-753
-471;-810
89;-110
-419;864
-930;-622
20;130
160;599
-176;-415
-797;419
243;-457
298;209
-681;971
-661;-553
452;575
-128;115
179;196
568;31
-244;470
-774;284
434;-143
492;397
21;669
567;71
-15;-99
259;-941
98;-279
539;-167
-230;550
929;-441
851;-358
438;7
-8;-44
199;824
562;-872
-157;355
-641;-80
986;-614
52;902
-812;-350
-597;268
462;-450
-684;-187
-984;-543
-739;207
541;668
433;-209
419;-515
-531;743
510;-144
-942;905
701;-822
-264;152
782;-131
361;278
-845;-417
181;-113
-310;-822
-60;-259
-834;-173
868;636
814;-308
487;194
-32;-433
497;-877
-820;-340
759;-395
-508;-588
722;-494
-47;392
846;-738
512;-151
611;-469
795;-774
125;728
577;-318
-12;-578
-910;9
-309;543
-816;215
372;238
-175;-425
-605;-722
66;101
875;-524
791;551
180;-362
583;-564
-228;271
-2;-548
83;76
617;-931
-679;-896
147;-822
-980;-393
165;-983
-976;36
-865;517
-292;917
-193;-488
-368;-460
829;-947
961;748
-557;-899
-760;-355
-589;749
-42;-675
957;-38
955;-158
339;-864
-544;183
-615;162
-386;-453
-699;256
-890;-26
745;167
-731;104
437;782
-725;94
-782;-426
295;919
-633;-480
606;-725
-923;811
560;-802
-931;866
-422;-329
-944;450
-846;-333
440;413
447;187
991;266
-100;245
480;855
-112;-825
-313;-139
-185;866
556;-662
696;913
-96;880
-412;599
47;988
627;608
654;-195
128;-893
620;-639
-205;-777
-78;384
511;209
242;814
830;520
-366;-711
111;101
-56;-44
-638;21
-344;882
-451;79
207;819
637;-266
-391;715
-755;195
544;-754
569;-689
-599;696
-363;-226
770;528
353;337
-503;-448
862;-829
-261;-401
705;-86
416;-980
-165;-568
-998;423
-823;95
-90;-80
-956;917
558;-303
387;180
676;-333
-617;883
-888;279
548;213
958;465
-883;-241
-24;646
490;-371
-169;549
477;970
693;214
-403;-326
-383;-567
292;-419
-5;164
-215;437
-826;-928
-785;823
-198;-864
-527;623
466;-288
-22;-849
945;-602
-574;-72
867;839
703;707
-26;170
285;439
-338;114
921;-1000
660;-207
-320;-320
-416;-97
431;668
828;-306
76;855
-882;-655
749;886
-511;-107
735;-532
-463;364
475;359
702;851
689;-328
-969;-702
101;172
-237;849
589;-372
421;400
743;-804
495;734
-54;-884
805;-615
131;-536
220;717
-847;-733
854;398
-102;449
926;397
-34;-875
-817;887
-121;-530
625;137
621;278
-266;-326
-995;-905
178;-703
352;451
237;-417
953;46
973;-655
546;-655
299;177
-373;369
550;60
-240;995
-156;942
-17;479
-738;-440
899;557
-955;447
-789;343
771;-671
